template,condition,failure_category,count
dialogue,clean,correct_exact,48
dialogue,clean,correct_identity_strict_form_change,52
dialogue,early_5_7,correct_identity_strict_form_change,35
dialogue,early_5_7,other_output_failure,30
dialogue,early_5_7,partial_name,35
dialogue,full_intermediate_bottleneck,correct_identity_strict_form_change,29
dialogue,full_intermediate_bottleneck,other_output_failure,40
dialogue,full_intermediate_bottleneck,partial_name,31
dialogue,generated_read_block,correct_identity_strict_form_change,63
dialogue,generated_read_block,other_output_failure,1
dialogue,generated_read_block,partial_name,36
dialogue,late_negative_30_32,correct_identity_strict_form_change,31
dialogue,late_negative_30_32,other_output_failure,37
dialogue,late_negative_30_32,partial_name,32
dialogue,later_middle_19_21,correct_identity_strict_form_change,38
dialogue,later_middle_19_21,other_output_failure,24
dialogue,later_middle_19_21,partial_name,38
dialogue,middle_12_14,correct_identity_strict_form_change,35
dialogue,middle_12_14,other_output_failure,31
dialogue,middle_12_14,partial_name,34
dialogue,sparse_union,correct_identity_strict_form_change,55
dialogue,sparse_union,other_output_failure,8
dialogue,sparse_union,partial_name,37
direct_fact,clean,correct_exact,100
direct_fact,early_5_7,correct_exact,56
direct_fact,early_5_7,correct_identity_strict_form_change,1
direct_fact,early_5_7,partial_name,43
direct_fact,full_intermediate_bottleneck,correct_exact,53
direct_fact,full_intermediate_bottleneck,correct_identity_strict_form_change,5
direct_fact,full_intermediate_bottleneck,partial_name,42
direct_fact,generated_read_block,correct_exact,60
direct_fact,generated_read_block,partial_name,40
direct_fact,late_negative_30_32,correct_exact,54
direct_fact,late_negative_30_32,correct_identity_strict_form_change,4
direct_fact,late_negative_30_32,partial_name,42
direct_fact,later_middle_19_21,correct_exact,57
direct_fact,later_middle_19_21,correct_identity_strict_form_change,1
direct_fact,later_middle_19_21,partial_name,42
direct_fact,middle_12_14,correct_exact,57
direct_fact,middle_12_14,partial_name,43
direct_fact,sparse_union,correct_exact,58
direct_fact,sparse_union,partial_name,42
friend,clean,correct_exact,98
friend,clean,correct_identity_strict_form_change,2
friend,early_5_7,correct_exact,53
friend,early_5_7,generic_refusal_or_not_provided,1
friend,early_5_7,other_output_failure,1
friend,early_5_7,partial_name,45
friend,full_intermediate_bottleneck,correct_exact,17
friend,full_intermediate_bottleneck,generic_refusal_or_not_provided,31
friend,full_intermediate_bottleneck,other_output_failure,7
friend,full_intermediate_bottleneck,partial_name,45
friend,generated_read_block,correct_exact,56
friend,generated_read_block,correct_identity_strict_form_change,2
friend,generated_read_block,other_output_failure,1
friend,generated_read_block,partial_name,41
friend,late_negative_30_32,correct_exact,21
friend,late_negative_30_32,generic_refusal_or_not_provided,28
friend,late_negative_30_32,other_output_failure,7
friend,late_negative_30_32,partial_name,44
